name,type,about,employees,employees_latest,growth_stage,traffic_summary,launch_year,has_promising_founder,has_strong_founder,has_super_founder,total_funding,last_funding,company_status,last_updated_utc,created_utc,employee_3_months_growth_unique,job_openings,kpi_summary->last_update_date_utc,team->total,traffic->visitors,3d technology,artificial intelligence,augmented reality,autonomous & sensor tech,big data,blockchain,computer vision,connected device,deep learning,deep tech,hardware,iot internetofthings,machine learning,mobile app,nanotech,natural language processing,quantum technologies,recognition technology,virtual reality,Status
UKIXX GmbH,service_provider,"UKIXX is a fully video-based digitized SELF-Scouting platform for the self-marketing of soccer talents, semi-professionals as well as professionals in soccer.
With a few clicks scouts , trainer and football clubs can now find exactly the suitable player profiles by using multiple video-based talent search filters. UKIXX automatically offers new players to you. According to this scouts can present their players' profiles to their customers in a completely video-based way.",2-10,4.0,seed,,2020.0,False,False,False,0.0,,operational,2022-09-08 05:01:02,2021-06-27 17:07:55,712438.0,0,2021-06-27 17:30:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
Neuroflash,company,"neuroflash’s AI powered marketing copy creation software helps marketing teams create highly effective short copy at scale – smarter, more intuitive and efficient.

neuroflash supports human creativity with AI-backed performance prediction, resulting in proven better performance and ultimately in more confident copywriters.

Since 2016, we have been on a mission to drive brand equity along the marketing value chain towards consistent operational execution by applying Big Data, optimized Natural Language Processing, and Neuromarketing science.

Today over 30 enterprise customers in more than 20 countries use neuroflash award-winning software, services and support to transform the way they communicate their brand values with the world. 

We make copywriters more confident: We encourage creativity by validating your copy impact with a predictive performance and brand-fit score before you actually publish the copy. Our generated copy delivers proven better performance and results in higher self-confidence of our users.",2-10,9.0,seed,73K,2017.0,False,False,False,0.0,,operational,2022-06-30 23:40:53,2018-12-28 15:34:21,,0,2021-02-05 16:14:53,1,72516,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Prospect
Lhotse Analytics,service_provider,"Lhotse Analytics is an intuitive AI-powered software solution tailored for global procurement organizations in the manufacturing industry. Leverage the power of Artificial Intelligence to analyze your procurement data, identify new cost-saving opportunities and be fully prepared for supplier negotiations – all automatically. We provide actionable insights and full transparency. Spend less time wading through data and more time to execute your strategies. We find Savings. In Seconds. Challenge us to unlock your maximum savings potential at www.lhotse-analytics.com",2-10,7.0,seed,,2020.0,False,False,False,0.0,,operational,2022-09-13 10:45:16,2021-11-09 12:13:02,95567.0,0,2021-11-09 14:00:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
accessia,company,accessia ends the SaaS chaos for businesses by increasing workforce productivity and ensuring compliance readiness through a self-service portal.,2-10,2.0,seed,,2022.0,False,False,False,0.0,,operational,2022-09-11 00:37:48,2022-08-12 10:07:38,,0,2022-08-12 10:08:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Freerange Lamas,company,,,,seed,,,False,False,False,0.0,,operational,2022-08-14 11:16:40,2022-07-11 19:12:29,,0,2022-07-11 20:01:07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Prospect
Build38,company,"Build38 is the innovative and cutting-edge provider of the next generation AI-based app protection and management platform. We deliver in-app protection (app-hardening), monitoring and app life cycle management technologies. We protect your apps and backend from known and unknown attacks. 
Our technology can be easily integrated into any iOS and Android app. Your developers can focus on what they are best at: delivering business value, while Build38 delivers the security. And your user can feel at ease.
Build38 protects applications across various industries including automotive, banking, insurance, public transportation and healthcare. Build38 is headquartered in Munich with offices in Barcelona and Singapore.",11-50,45.0,early growth,10K,2018.0,False,True,False,3.0,3,operational,2022-08-29 23:26:56,2020-03-29 20:30:50,61557.0,0,2022-01-19 18:12:31,8,10002,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Rejected
Lentvio: e,company,"Our mission at Lentvio is to help e-Commerce merchants become successful, by providing pivotal working capital to uphold performance during crucial times. Thus, we have created the most business-friendly financing solution to accelerate and sustain growth.",2-10,2.0,seed,,2021.0,False,False,False,0.0,,operational,2022-08-27 23:30:47,2022-06-29 10:30:09,,0,2022-06-29 10:35:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leads
Medicalytix AI GmbH,company,https://medicalytix.ai/,2-10,4.0,seed,,2022.0,False,False,False,0.0,,operational,2022-09-04 10:49:27,2022-04-03 17:03:16,,0,2022-04-03 17:11:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Watch/Hold/Reconsider
Mutumutu,company,"Nejsme pojišťovna. Jsme technologický startup, který mění způsob pojištění života.

V Mutumutu měníme zastaralý model životního pojištění závislého na drahých a často nespolehlivých finančních poradcích. Oproti ostatním pojišťovnám se v Mutumutu vracíme k podstatě pojištění a zaměřujeme se na to, abyste byli zajištění hlavně vy. A i když jsme změnili pojištění života od základu, zachovali jsme to, proč se pojišťujete.

- Dorovnáme vám příjem peněz při dlouhodobé nemoci nebo úrazu.
- Nahradíme váš pravidelný příjem při invaliditě.
- Zajistíme vaše blízké v případě vaší smrti.

Mutumutu odměňuje klienty, kteří se zodpovědně starají o své zdraví, a vrací jim pravidelně až 30 % z pojistného. Sportujete, nekouříte, chodíte na preventivní prohlídky? Vrátíme vám spravedlivě část pojistného podle toho, jak se o sebe a svoje tělo staráte. Máte pak #mutumuturespekt 

____________________________________________________________________________________

EN
We're not an insurance company. We're a tech startup that changes the very principles of life insurance.

Our aim is to completely replace old life insurace models that are often reliant on financial advisors. Mutumutu returns to the basics, and focuses on you and your financial security. 

- Full income guarantee in case of illness and injuries.
- Full compensation of your income in case of disability.
- We'll take care of your relatives in case of death.

Mutumutu also rewards clients who maintain a healthy lifestyle by returning up to 30% of all installments. Excercise, do sports, don't smoke and attend regular  check-ups with your doctor, and we'll give you your money back. #mutumuturespekt",11-50,24.0,early growth,44K,2018.0,False,True,False,5.3,1.5,operational,2022-09-01 03:14:13,2019-09-19 14:58:04,,0,2022-07-21 08:46:57,3,43593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Plenti,company,"Rób więcej, posiadaj mniej. Technologia na zawołanie.",11-50,39.0,early growth,65K,2018.0,False,True,False,1.44,1.29,operational,2022-09-01 09:44:35,2020-04-18 15:13:18,847092.0,0,2021-05-03 08:32:57,7,64850,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Leads
TasteIndex.com,company,,2-10,5.0,seed,,,False,False,False,0.0,,operational,2022-09-07 11:26:36,2021-12-15 05:23:39,626361.0,0,2021-12-15 06:05:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
Napo,company,"Our mission is to ensure that pet owners have everything they need so that that their pets live long, healthy and happy lives.",11-50,32.0,early growth,,2021.0,False,True,False,0.0,5.4,operational,2022-09-13 14:23:55,2021-10-14 09:37:47,25218.0,0,2022-03-25 15:20:46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Sentian.ai,company,"Our utmost goal is to support industrial companies through their optimization journey. We believe in the power of artificial intelligence as the key asset to enhance their production and logistics endeavors.

We are a skilled team at the forefront of offering cutting-edge technologies to our customers. We focus on adding value through self-learning systems that will improve even further over time.

Our main office is located at The Ground in Malmö, an entrepreneurial co-working space and community filled with hard-working, ambitious people active in the Swedish Startup Landscape.
 
Additionally, we have a sales office in Stockholm in collaboration with THINGS, one of the most influential innovation centers in the country.",11-50,11.0,early growth,7K,2016.0,False,False,False,0.0,,operational,2022-08-25 13:48:45,2018-12-03 17:50:55,904599.0,0,2018-12-03 17:50:55,2,6707,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Prospect
getpaid,company,getpaid enables platforms to bring payments in-house by offering a modular & scalable embedded payments infrastructure. Start monetizing on each payment on your platform while controlling the entire experience - from onboarding of your merchants to managing disputes and chargebacks.,2-10,3.0,seed,,2022.0,False,False,False,0.0,,operational,2022-09-12 06:41:04,2022-07-14 09:59:36,,0,2022-07-14 10:01:32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To be rejected
Smino,company,"smino gibt Ihnen die Kontrolle und Übersicht über Ihr Bauprojekt. Das Tool vernetzt Bauherren, Behörden, Planer und Unternehmer zu einer effizienten Einheit. Hochkomplexe Bauprojekte werden vereinfacht und automatisiert, damit Sie sich wieder auf das Wesentliche konzentrieren können: Das Bauen.",11-50,41.0,early growth,7K,2016.0,False,True,False,2.58,2.58,operational,2022-07-01 00:22:14,2021-03-12 13:57:06,60784.0,0,2021-10-03 15:28:52,2,7112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To be rejected
Lotaro,company,,,,,,,False,False,False,0.0,,operational,2022-05-19 19:32:33,2022-04-13 02:22:04,,0,2022-04-13 03:56:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Videosupport.io,company,"Videosupport enables businesses to provide better and faster customer support through recorded customer videos.

We allow customers to record and share videos directly with a product’s support team. Issues can be identified and resolved in a smooth way, benefitting both businesses and their customers.

Videosupport is situated at the crossroad of two trends: customer empowerment and digital transformation. More than ever, customers expect personalised experiences, and technology makes companies able to meet those expectations.

Videosupport is an official Intercom app partner.",1,1.0,seed,,,False,False,False,0.0,,operational,2022-09-08 06:12:12,2021-10-13 16:32:26,528624.0,0,2021-10-13 18:02:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Storypod,company,The Magical Storyteller That Engages Kids Independently & Makes Learning Fun — All Without Screens ✨,11-50,15.0,early growth,16K,2019.0,False,False,False,5.39,3.64,operational,2022-09-05 07:15:38,2020-11-20 06:24:08,149631.0,0,2022-05-01 14:23:39,2,15912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To be rejected
Voxalyze,company,"The first Podcast Visibility Analytics solution, powering search engine optimization for podcasts on platforms like Apple podcast or Spotify.

We help audio content creators, meet and increase their audience with data and insights.",2-10,8.0,seed,7K,2020.0,False,False,False,0.0,0.2,operational,2022-09-02 10:18:49,2020-09-21 14:07:45,588.0,0,2021-10-18 07:41:43,2,6833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
valyria,service_provider,"THE FUTURE OF REAL ESTATE IS HERE.
We are Valyria. We are on the mission to make buying a real estate as easy as buying a new t-shirt. We believe that in a world where we have the technology to go to Mars, a real estate transaction can’t take half a year.
We are radically transforming the real estate market - focused on our customers, driven by technology and aiming for sustainability. Together with leading research institutes, such as the Hasso-Plattner Institute, we develop innovative technological solutions to fully digitalize, perfectly screen and precisely valuate real estates with machine learning algorithms. 
We are a highly motivated team of real estate experts, tech enthusiasts and pioneers. Founded by an experienced team - Steffen Biallas, Thomas Christian Thiele, Lina Adrian, Dr. Friso Zimmermann - around serial founder Robin Behlau and backed by some of the most renowned investors in Europe, such as Picus Capital. Together, we define the future of real estate transactions.",11-50,45.0,early growth,23K,,False,True,False,0.0,10,operational,2022-08-20 06:20:26,2021-07-12 12:58:45,58024.0,5,2022-08-11 10:11:19,1,23185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Lupiter,company,"Wo Kundenservice zur Kundenfreundschaft wird
Entdecken Sie Lupiter, die Kundenservice-Plattform, die Agenten befähigt und die Kundenbindung erhöht. Lassen Sie jeden Moment zählen, vom ersten Kontakt bis zum höchsten Lebenszeitwert. Schaffen Sie bei jeder Kundeninteraktion einen Mehrwert durch außergewöhnliche Erlebnisse. Erzielen Sie eine höhere Kundenzufriedenheit sowie eine stärkere und dauerhafte Loyalität.

Lupiter entwickelt eine Software-Plattform für die Kundenbindung. Unsere Plattform hilft den Agenten, Zeit zu sparen und ihre tägliche Kundenkommunikation zu erleichtern. Wir kombinieren verschiedene Kanäle wie Telefon, E-Mail und Chat in einem einfach zu bedienenden Cockpit.

Lupiter steht für einen wertorientierten Kundenservice für herausragende Geschäftsergebnisse.",2-10,2.0,seed,0.4K,2019.0,False,False,False,0.4,0.4,operational,2022-09-01 03:14:12,2020-06-02 14:18:10,,0,2022-05-19 06:53:09,1,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Rejected
Prodlane,company,"Prodlane is the data-driven workspace for industrial product management and development. It brings all stakeholders together in a single source of truth, guiding them through the innovation process and creating an intelligent documentation that links content directly to the underlying data. In this way, we ensure full traceability, increase transparency, and enable truly data-driven decision making while reducing reporting overhead.",11-50,13.0,early growth,,2021.0,False,False,False,0.0,,operational,2022-08-20 16:50:16,2022-08-20 16:47:27,,0,2022-08-20 16:47:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
Cledara,company,"Companies use more SaaS every day, but few manage it properly. And that's because businesses have changed, but the tools to manage their software haven't.

Having experienced the pain of managing an ever-growing SaaS stack, we built a platform to help companies bring visibility and control of all their SaaS so they can focus on serving their customers. 

From discovery to purchasing, management and cancellation, Cledara is the All-in-One SaaS management platform that companies love.

We are a Techstars company, startup of the year 2018 by SaaStock and a hot10 company at the Fintech50 2020.

Follow for updates and SaaS insights!",11-50,46.0,early growth,54K,2018.0,False,True,False,22.12,18.18,operational,2022-09-13 16:55:09,2018-11-29 18:18:17,59736.0,3,2021-03-23 01:42:07,9,54253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
ImpactBytes,company,,,,,,,False,False,False,0.0,,operational,2022-09-13 16:31:11,2022-09-13 16:30:43,,0,2022-09-13 16:30:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
finway,company,"With finway, SMBs can seamlessly plan & control all expenses and budgets in one tool and get real insights to run their business.",51-200,52.0,late growth,12K,2019.0,False,True,False,2.73,2.73,operational,2022-09-12 03:29:51,2020-12-14 11:54:27,98311.0,3,2022-01-19 18:32:16,5,12218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
InsureQ,service_provider,"Die Bedürfnisse von Geschäftsinhabern haben sich im letzten Jahrzehnt signifikant verändert, die Versicherungsindustrie ist dabei relativ statisch geblieben - Komplexe Produkte und undurchsichtige Bedingungen & Kosten.

InsureQ wurde gegründet, um diese Punkte der Vergangenheit angehören zu lassen. 100% digitaler, maßgeschneiderter Schutz für Deine Berufsgruppe. Einfache & verständliche Produkte. Und das alles zu äußerst fairen & transparenten Konditionen.

iQ Embedded ist unserer Versicherungslösung für digitale Plattformen, die ihren eigenen Nutzern Versicherungslösungen anbieten möchten 👉 https://www.iq-embedded.com 👈

Wir bei insureQ bringen allerdings nicht nur frische Gedanken in die Versicherungsindustrie, sondern sind auch reich an Erfahrung. Unser Versicherungspartner Hiscox ist seit über 100 Jahren erfolgreich am Markt und garantiert Deine Sicherheit und Stabilität.",11-50,24.0,early growth,,2020.0,True,True,False,0.0,,operational,2022-08-24 10:33:18,2021-10-12 11:27:28,192737.0,0,2021-10-12 12:05:18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
PREVENCY® GmbH,company,"The fight for credibility and trust is getting more challenging from day to day. We empower companies, persons and institutions to protect their reputation and keep control of their outer appearance.

PREVENCY® stands for next gen reputation and communication management. Based on many years of experience and expertise, we enable our clients in Europe and across the Atlantic to build and protect their reputation in the digital age. We offer a unique combination of consulting, training and technology that has been successfully deployed in the private, governmental and military sector.

Our work combines experience, knowledge and technology to enable a modern management of reputational risks and maintain control over one's reputation.",2-10,6.0,seed,1K,2015.0,False,False,False,0.0,,operational,2022-08-20 03:18:30,2021-08-12 10:31:50,906722.0,0,2021-08-12 10:31:50,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Vialytics,company,"Aktuelle Bilder und automatische Auswertungen vereinfachen den Arbeitsalltag in Kommunen von der Streckenkontrolle bis zum Erhaltungsmanagement. Dafür hat vialytics ein Smartphone-basiertes System entwickelt, mit dem Städte und Gemeinden ihre Straßen digital und zeitsparend sicherer machen. vialytics arbeitet in Deutschland und Europa mit über 150 Partnerkommunen zusammen. Dabei spielt es keine Rolle, ob diese über ein Streckennetz von 35 km oder 3.500 km verfügen",51-200,54.0,late growth,2K,2017.0,False,True,False,0.0,,operational,2022-08-25 21:09:19,2019-06-20 10:01:17,92704.0,6,2022-03-07 02:08:53,3,2285,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Rejected
Urbyo GmbH,company,"Impressum:

Urbyo GmbH
Fehrbelliner Straße 35
10119 Berlin

Geschäftsführer: 
Philipp Schormann, Markus Fasselt, Sebastian Tussing, Oliver Wulf

Telefon für Nutzer:innen / Käufer:innen: +49 (0) 30 233 29 49 40 
Telefon für Makler:innen / Verkäufer:innen: +49 (0) 30 233 29 49 45
Telefon für Fragen zur Finanzierung: +49 (0) 30 233 29 49 49
 
E-Mail: support@urbyo.com
Webseite: www.urbyo.com",11-50,35.0,early growth,,2021.0,False,True,False,4.55,4.55,operational,2022-08-18 12:54:05,2021-10-29 11:50:29,30959.0,0,2022-03-06 21:56:40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Neotrade Bank,company,,2-10,,seed,,2022.0,False,False,False,0.0,,operational,2022-08-11 16:20:10,2022-08-11 16:19:23,,0,2022-08-11 16:19:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leads
